Year,Region,disasterType,len
1983,Caribbean,Wildfire,1
1983,Southern Europe,Flood,3
1983,Melanesia,Storm,2
1983,Melanesia,Drought,1
1983,Western Europe,Landslide,2
1983,Western Africa,Earthquake,1
1983,Southern Europe,Earthquake,3
1983,Southern Europe,Wildfire,4
1983,Central America,Other,1
1984,Western Europe,Storm,11
1984,Southern Asia,Earthquake,3
1984,Caribbean,Storm,3
1984,South America,Landslide,2
1984,Australia and New Zealand,Flood,2
1984,Western Europe,Landslide,1
1984,Western Europe,Flood,1
1984,Western Africa,Wildfire,1
1984,Western Africa,Epidemic,5
1984,Western Africa,Flood,2
1984,Southern Asia,Epidemic,4
1984,Southern Asia,Flood,12
1984,South America,Flood,7
1984,South America,Storm,3
1984,South America,Epidemic,1
1984,Caribbean,Flood,1
1984,Northern America,Drought,1
1984,Eastern Asia,Landslide,3
1984,Eastern Asia,Storm,3
1984,Eastern Asia,Flood,4
1984,Middle Africa,Other,1
1984,Western Africa,Storm,2
1984,Eastern Europe,Storm,2
1984,Northern Africa,Flood,1
1984,Southern Europe,Storm,2
1984,Southern Europe,Wildfire,3
1984,Western Europe,Wildfire,2
1984,Northern Europe,Storm,1
1984,Northern Europe,Epidemic,1
1984,Central America,Other,1
1985,Southern Asia,Storm,6
1985,South America,Other,1
1985,Middle Africa,Drought,1
1985,Southern Europe,Landslide,1
1985,Southern Europe,Extreme temperature ,3
1985,South America,Earthquake,3
1985,South America,Flood,6
1985,Australia and New Zealand,Storm,2
1985,Australia and New Zealand,Wildfire,2
1985,Australia and New Zealand,Flood,3
1985,Western Europe,Flood,1
1985,Western Europe,Storm,6
1985,Western Europe,Extreme temperature ,2
1985,Western Africa,Flood,5
1985,Southern Asia,Flood,8
1985,Southern Asia,Epidemic,6
1985,Northern America,Storm,12
1985,South America,Storm,1
1985,South America,Drought,1
1985,Northern America,Wildfire,1
1985,Eastern Asia,Earthquake,2
1985,Eastern Asia,Flood,9
1985,Eastern Asia,Landslide,1
1985,Eastern Asia,Storm,7
1985,Eastern Asia,Drought,1
1985,Eastern Africa,Storm,3
1985,Eastern Europe,Landslide,1
1985,Eastern Europe,Extreme temperature ,1
1985,Caribbean,Storm,3
1985,Caribbean,Flood,3
1985,Northern Europe,Storm,1
1985,Northern Africa,Earthquake,1
1985,Northern Africa,Flood,1
1985,South America,Wildfire,1
1985,Southern Europe,Wildfire,5
1985,Eastern Africa,Flood,3
1985,Eastern Africa,Epidemic,3
1985,Melanesia,Storm,5
1985,Western Europe,Wildfire,1
1985,Northern Europe,Epidemic,1
1985,Western Africa,Wildfire,1
1985,Central America,Earthquake,2
1986,South America,Storm,3
1986,South America,Flood,7
1986,Australia and New Zealand,Storm,5
1986,Australia and New Zealand,Flood,4
1986,Western Africa,Other,7
1986,Southern Asia,Storm,12
1986,Southern Asia,Flood,10
1986,Southern Asia,Epidemic,3
1986,Eastern Europe,Earthquake,1
1986,Northern America,Storm,4
1986,South America,Earthquake,5
1986,South America,Epidemic,1
1986,Southern Africa,Other,1
1986,Northern America,Flood,4
1986,Northern America,Wildfire,2
1986,Western Europe,Storm,3
1986,Eastern Asia,Storm,14
1986,Eastern Asia,Earthquake,2
1986,Eastern Asia,Extreme temperature ,1
1986,Eastern Asia,Flood,3
1986,Middle Africa,Other,1
1986,South America,Landslide,4
1986,Caribbean,Drought,1
1986,Caribbean,Flood,5
1986,Caribbean,Storm,2
1986,Eastern Africa,Other,3
1986,Melanesia,Storm,2
1986,Melanesia,Flood,1
1986,Western Europe,Wildfire,1
1986,Northern Europe,Storm,2
1986,Southern Europe,Earthquake,1
1986,Central America,Earthquake,2
1987,South America,Earthquake,3
1987,Eastern Europe,Flood,2
1987,Southern Asia,Landslide,1
1987,Middle Africa,Epidemic,3
1987,South America,Wildfire,1
1987,South America,Flood,11
1987,South America,Storm,1
1987,Western Europe,Flood,3
1987,Western Africa,Epidemic,12
1987,Western Africa,Other,7
1987,Southern Asia,Flood,14
1987,Southern Asia,Storm,6
1987,Southern Asia,Epidemic,5
1987,Northern America,Storm,10
1987,South America,Drought,1
1987,Caribbean,Storm,4
1987,Northern America,Flood,2
1987,Western Europe,Storm,2
1987,South America,Landslide,7
1987,Eastern Asia,Storm,10
1987,Eastern Asia,Earthquake,3
1987,Eastern Asia,Flood,9
1987,Eastern Asia,Landslide,1
1987,Eastern Asia,Wildfire,2
1987,Eastern Asia,Epidemic,1
1987,Middle Africa,Other,3
1987,Polynesia,Storm,3
1987,Eastern Africa,Storm,2
1987,Eastern Europe,Storm,1
1987,Caribbean,Wildfire,1
1987,Northern Africa,Earthquake,1
1987,Northern Africa,Other,3
1987,Northern Africa,Storm,1
1987,Southern Europe,Storm,5
1987,Southern Europe,Flood,2
1987,Eastern Africa,Other,1
1987,Eastern Africa,Drought,5
1987,Melanesia,Storm,2
1987,Micronesia,Storm,2
1987,Northern Europe,Storm,1
1987,Western Africa,Storm,1
1987,Southern Europe,Extreme temperature ,1
1987,Southern Europe,Wildfire,1
1987,Central America,Other,1
1987,Central America,Wildfire,1
1987,Central America,Drought,1
1987,Central America,Flood,3
1987,Eastern Asia,Extreme temperature ,1
1988,Caribbean,Flood,9
1988,Southern Europe,Earthquake,2
1988,Central America,Earthquake,2
1988,Southern Asia,Flood,9
1988,South America,Flood,9
1988,Western Africa,Flood,6
1988,Southern Asia,Earthquake,5
1988,Southern Asia,Storm,7
1988,South America,Extreme temperature ,1
1988,Southern Africa,Flood,2
1988,Southern Africa,Epidemic,2
1988,South America,Other,2
1988,Eastern Asia,Earthquake,2
1988,Eastern Asia,Flood,9
1988,Eastern Asia,Landslide,3
1988,Eastern Asia,Storm,5
1988,Eastern Asia,Epidemic,1
1988,Middle Africa,Flood,3
1988,Middle Africa,Epidemic,3
1988,South America,Storm,2
1988,Western Africa,Other,7
1988,Central America,Flood,5
1988,Central America,Storm,7
1988,Caribbean,Storm,5
1988,Western Europe,Flood,2
1988,Northern Africa,Earthquake,1
1988,Northern Africa,Other,7
1988,Northern Africa,Storm,1
1988,Eastern Africa,Flood,4
1988,Eastern Africa,Epidemic,2
1988,Eastern Africa,Other,2
1988,Western Africa,Epidemic,4
1988,Southern Europe,Extreme temperature ,2
1978,South-Eastern Asia,Drought,2
1978,Southern Asia,Landslide,1
1978,Southern Asia,Earthquake,2
1978,Eastern Africa,Storm,2
1978,Central America,Earthquake,1
1978,Central America,Drought,1
1978,Western Africa,Drought,1
1978,South-Eastern Asia,Landslide,1
1979,South-Eastern Asia,Earthquake,6
1979,Eastern Africa,Drought,3
1979,South-Eastern Asia,Other,2
1979,South-Eastern Asia,Landslide,1
1979,South-Eastern Asia,Flood,5
1979,Southern Asia,Landslide,2
1979,Southern Asia,Extreme temperature ,3
1979,Southern Asia,Epidemic,1
1979,Southern Asia,Flood,5
1979,Southern Asia,Earthquake,3
1979,Southern Europe,Other,1
1979,Eastern Asia,Flood,1
1979,South-Eastern Asia,Wildfire,1
1979,Eastern Africa,Storm,2
1979,Eastern Africa,Flood,2
1979,Australia and New Zealand,Landslide,1
1979,South-Eastern Asia,Storm,5
1979,Melanesia,Landslide,1
1980,Caribbean,Drought,1
1980,Melanesia,Drought,1
1980,South-Eastern Asia,Earthquake,1
1980,South-Eastern Asia,Other,1
1980,South-Eastern Asia,Landslide,1
1980,South-Eastern Asia,Storm,9
1980,South-Eastern Asia,Flood,4
1980,Southern Asia,Earthquake,5
1980,Southern Asia,Landslide,1
1980,Southern Asia,Extreme temperature ,2
1980,Southern Asia,Epidemic,3
1980,Eastern Asia,Earthquake,1
1980,Western Africa,Epidemic,1
1980,Southern Asia,Drought,1
1980,Central America,Earthquake,2
1980,Australia and New Zealand,Flood,2
1980,South-Eastern Asia,Other,1
1980,South-Eastern Asia,Drought,1
1980,Eastern Europe,Flood,1
1980,Eastern Africa,Storm,1
1981,South-Eastern Asia,Earthquake,1
1981,Southern Asia,Earthquake,4
1981,Eastern Asia,Drought,1
1981,Central America,Flood,1
1981,South-Eastern Asia,Other,1
1981,South-Eastern Asia,Flood,7
1981,South-Eastern Asia,Landslide,2
1981,Southern Asia,Extreme temperature ,1
1981,Southern Asia,Flood,6
1981,Western Asia,Epidemic,1
1981,Eastern Asia,Landslide,2
1981,Southern Asia,Drought,1
1981,Eastern Africa,Storm,1
1981,Central America,Earthquake,1
1981,Central America,Storm,1
1981,South-Eastern Asia,Wildfire,1
1981,Western Africa,Drought,1
1981,Western Asia,Storm,1
1981,South-Eastern Asia,Storm,10
1981,Caribbean,Landslide,1
1981,Southern Europe,Flood,2
1982,South-Eastern Asia,Earthquake,2
1982,South-Eastern Asia,Drought,1
1982,Eastern Asia,Wildfire,2
1982,Eastern Asia,Storm,7
1982,Central America,Earthquake,4
1982,Central America,Storm,3
1982,South-Eastern Asia,Other,2
1982,South-Eastern Asia,Landslide,2
1982,South-Eastern Asia,Storm,12
1982,South-Eastern Asia,Epidemic,1
1982,South-Eastern Asia,Flood,7
1982,Southern Asia,Storm,2
1982,Southern Asia,Extreme temperature ,1
1982,Southern Europe,Landslide,1
1982,Eastern Africa,Flood,3
1982,Western Africa,Other,1
1982,Northern Africa,Landslide,1
1982,Eastern Africa,Storm,3
1982,Central America,Other,1
1982,Western Africa,Epidemic,1
1982,South America,Earthquake,1
1982,Eastern Europe,Earthquake,1
1982,Eastern Europe,Flood,1
1982,Western Asia,Storm,1
1983,South-Eastern Asia,Earthquake,2
1983,Central America,Drought,1
1983,Southern Africa,Drought,1
1983,Eastern Asia,Wildfire,1
1983,South-Eastern Asia,Other,3
1983,South-Eastern Asia,Landslide,1
1983,South-Eastern Asia,Epidemic,2
1983,South-Eastern Asia,Flood,6
1983,Southern Asia,Landslide,4
1983,Northern Europe,Other,1
1983,Northern Europe,Landslide,1
1983,Western Asia,Wildfire,1
1983,Southern Europe,Landslide,1
1983,Eastern Asia,Other,1
1983,Eastern Asia,Landslide,2
1983,Western Asia,Other,1
1983,Northern Africa,Drought,2
1983,Central America,Storm,2
1983,Central America,Landslide,1
1983,Eastern Africa,Epidemic,2
1983,Australia and New Zealand,Flood,1
1983,South America,Extreme temperature ,1
1983,South-Eastern Asia,Storm,7
1983,South-Eastern Asia,Drought,1
1983,Melanesia,Earthquake,1
1983,Melanesia,Other,1
1983,Melanesia,Flood,2
1983,Eastern Europe,Storm,1
1983,Eastern Europe,Wildfire,1
1983,Southern Europe,Drought,1
1983,Western Asia,Epidemic,1
1983,Polynesia,Storm,3
1983,Northern Africa,Flood,2
1984,Eastern Asia,Earthquake,2
1984,Eastern Africa,Drought,2
1984,Central America,Flood,3
1984,South-Eastern Asia,Earthquake,2
1984,South-Eastern Asia,Other,4
1984,South-Eastern Asia,Epidemic,1
1984,South-Eastern Asia,Drought,1
1984,South-Eastern Asia,Flood,7
1984,Southern Asia,Storm,3
1984,Southern Asia,Extreme temperature ,1
1984,Southern Asia,Wildfire,1
1984,Northern Europe,Other,1
1984,Southern Europe,Earthquake,3
1984,Northern Africa,Drought,1
1984,Eastern Africa,Storm,4
1984,Central America,Storm,1
1984,South-Eastern Asia,Storm,6
1984,Eastern Europe,Flood,1
1985,Southern Europe,Flood,1
1985,Eastern Asia,Wildfire,1
1985,South-Eastern Asia,Earthquake,2
1985,South-Eastern Asia,Other,1
1985,South-Eastern Asia,Flood,7
1985,South-Eastern Asia,Storm,5
1985,Southern Asia,Extreme temperature ,2
1985,Southern Asia,Earthquake,2
1985,South-Eastern Asia,Epidemic,1
1985,Southern Africa,Flood,1
1985,Western Africa,Other,2
1985,South America,Other,1
1985,South America,Landslide,2
1985,South-Eastern Asia,Other,1
1985,Melanesia,Earthquake,1
1985,Caribbean,Landslide,1
1985,Western Asia,Flood,1
1986,Melanesia,Earthquake,1
1986,Eastern Asia,Wildfire,2
1986,Central America,Flood,3
