Year,Region,disasterType,len
1979,Eastern Africa,Flood,1
1979,Australia and New Zealand,Landslide,1
1979,South-Eastern Asia,Storm,1
1979,Melanesia,Landslide,1
1980,Caribbean,Drought,1
1980,Melanesia,Drought,1
1980,South-Eastern Asia,Earthquake,1
1980,South-Eastern Asia,Other,2
1980,South-Eastern Asia,Landslide,1
1980,South-Eastern Asia,Storm,1
1980,South-Eastern Asia,Flood,1
1980,Southern Asia,Earthquake,1
1980,Southern Asia,Landslide,1
1980,Southern Asia,Extreme temperature ,1
1980,Southern Asia,Epidemic,1
1980,Eastern Asia,Earthquake,1
1980,Western Africa,Epidemic,1
1980,Southern Asia,Drought,1
1980,Central America,Earthquake,1
1980,Australia and New Zealand,Flood,1
1980,South-Eastern Asia,Drought,1
1980,Eastern Europe,Flood,1
1980,Eastern Africa,Storm,1
1981,South-Eastern Asia,Earthquake,1
1981,Southern Asia,Earthquake,1
1981,Eastern Asia,Drought,1
1981,Central America,Flood,1
1981,South-Eastern Asia,Other,1
1981,South-Eastern Asia,Flood,1
1981,South-Eastern Asia,Landslide,1
1981,Southern Asia,Extreme temperature ,1
1981,Southern Asia,Flood,1
1981,Western Asia,Epidemic,1
1981,Eastern Asia,Landslide,1
1981,Southern Asia,Drought,1
1981,Eastern Africa,Storm,1
1981,Central America,Earthquake,1
1981,Central America,Storm,1
1981,South-Eastern Asia,Wildfire,1
1981,Western Africa,Drought,1
1981,Western Asia,Storm,1
1981,South-Eastern Asia,Storm,1
1981,Caribbean,Landslide,1
1981,Southern Europe,Flood,1
1982,South-Eastern Asia,Earthquake,1
1982,South-Eastern Asia,Drought,1
1982,Eastern Asia,Wildfire,1
1982,Eastern Asia,Storm,1
1982,Central America,Earthquake,1
1982,Central America,Storm,1
1982,South-Eastern Asia,Other,1
1982,South-Eastern Asia,Landslide,1
1982,South-Eastern Asia,Storm,1
1982,South-Eastern Asia,Epidemic,1
1982,South-Eastern Asia,Flood,1
1982,Southern Asia,Storm,1
1982,Southern Asia,Extreme temperature ,1
1982,Southern Europe,Landslide,1
1982,Eastern Africa,Flood,1
1982,Western Africa,Other,1
1982,Northern Africa,Landslide,1
1982,Eastern Africa,Storm,1
1982,Central America,Other,1
1982,Western Africa,Epidemic,1
1982,South America,Earthquake,1
1982,Eastern Europe,Earthquake,1
1982,Eastern Europe,Flood,1
1982,Western Asia,Storm,1
1983,South-Eastern Asia,Earthquake,1
1983,Central America,Drought,1
1983,Southern Africa,Drought,1
1983,Eastern Asia,Wildfire,1
1983,South-Eastern Asia,Other,1
1983,South-Eastern Asia,Landslide,1
1983,South-Eastern Asia,Epidemic,1
1983,South-Eastern Asia,Flood,1
1983,Southern Asia,Landslide,1
1983,Northern Europe,Other,1
1983,Northern Europe,Landslide,1
1983,Western Asia,Wildfire,1
1983,Southern Europe,Landslide,1
1983,Eastern Asia,Landslide,1
1983,Western Asia,Other,1
1983,Northern Africa,Drought,1
1983,Central America,Storm,1
1983,Central America,Landslide,1
1983,Eastern Africa,Epidemic,1
1983,Australia and New Zealand,Flood,1
1983,South America,Extreme temperature ,1
1983,South-Eastern Asia,Storm,1
1983,South-Eastern Asia,Drought,1
1983,Melanesia,Earthquake,1
1983,Melanesia,Other,1
1983,Melanesia,Flood,1
1983,Eastern Europe,Storm,1
1983,Eastern Europe,Wildfire,1
1983,Southern Europe,Drought,1
1983,Western Asia,Epidemic,1
1983,Polynesia,Storm,1
1983,Northern Africa,Flood,1
1984,Eastern Asia,Earthquake,1
1984,Eastern Africa,Drought,1
1984,Central America,Flood,1
1984,South-Eastern Asia,Earthquake,1
1984,South-Eastern Asia,Other,1
1984,South-Eastern Asia,Epidemic,1
1984,South-Eastern Asia,Drought,1
1984,South-Eastern Asia,Flood,1
1984,Southern Asia,Storm,1
1984,Southern Asia,Extreme temperature ,1
1984,Southern Asia,Wildfire,1
1984,Northern Europe,Other,1
1984,Southern Europe,Earthquake,1
1984,Northern Africa,Drought,1
1984,Eastern Africa,Storm,1
1984,Central America,Storm,1
1984,South-Eastern Asia,Storm,1
1984,Eastern Europe,Flood,1
1985,Southern Europe,Flood,1
1985,Eastern Asia,Wildfire,1
1985,South-Eastern Asia,Earthquake,1
1985,South-Eastern Asia,Other,2
1985,South-Eastern Asia,Flood,1
1985,South-Eastern Asia,Storm,1
1985,Southern Asia,Extreme temperature ,1
1985,Southern Asia,Earthquake,1
1985,South-Eastern Asia,Epidemic,1
1985,Southern Africa,Flood,1
1985,Western Africa,Other,1
1985,South America,Landslide,1
1985,Melanesia,Earthquake,1
1985,Caribbean,Landslide,1
1985,Western Asia,Flood,1
1986,Melanesia,Earthquake,1
1986,Eastern Asia,Wildfire,1
1986,Central America,Flood,1
1986,Eastern Europe,Drought,1
1986,South-Eastern Asia,Flood,1
1986,South-Eastern Asia,Epidemic,1
